Material,Tc,Correct,Pathf
CaC 6,11.4 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/JAP/v123/i13/135304_1/vor_1.5016397.pdf
CaC 6,11.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/013002/sust_30_1_013002am.pdf
CaF 2,19.1 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/6/065005/sust_28_6_065005.pdf
CaF 2,7 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/5/054001/sust_31_5_054001.pdf
CaFe 2 As 2,49 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/8/085009/sust_30_8_085009.pdf
CeFeAsO1-xFx,46 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/9/093001/sust_31_9_093001am.pdf
Co 2 P,15.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/2/025008/sust_30_2_025008.pdf
Co-Ba122 thin film,22 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/8/085006/sust_30_8_085006.pdf
Co-doped Ba-122,30 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/11/114005/sust_28_11_114005.pdf
Co-doped BaFe 2 As 2,24 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/8/085003/sust_28_8_085003.pdf
Co-doped crystal,24.2 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/10/102001/sust_28_10_102001.pdf
Cu 0.07 TaSe 2,2.7 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/12/125001/sust_30_12_125001am.pdf
Cu-doped TaSe 2,2.7 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/12/125001/sust_30_12_125001am.pdf
CuO2,30 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/7/073001/sust_31_7_073001.pdf
CuO2,80 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/7/073001/sust_31_7_073001.pdf
Cuprate Bi 2 Sr 2 CaCu 2 O y (Bi-2212),90 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/APL/v112/i25/251109_1/vor_1.5039688.pdf
Eu 2 SrBi 2 S 4 F 4,9.8 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115011/sust_30_11_115011.pdf
Eu 2 SrBi 2 S 4 F 4,6.9 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115011/sust_30_11_115011.pdf
Eu 2 SrBi 2 S 4 F 4,=6.9 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115011/sust_30_11_115011.pdf
Eu-123,77 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/12/125006/sust_31_12_125006am.pdf
EuBCO,77 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/12/125006/sust_31_12_125006am.pdf
EuBCuO crystals,92 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/9/095010/sust_28_9_095010.pdf
EuBCuO,92 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/9/095010/sust_28_9_095010.pdf
EuBiS 2 F,3 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115011/sust_30_11_115011.pdf
EuBiS 2 F,0.3 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115011/sust_30_11_115011.pdf
EuBiS 2 F,=0.3 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115011/sust_30_11_115011.pdf
EuSr 2 Bi 2 S 4 F 4,8.2 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115011/sust_30_11_115011.pdf
EuSr 2 Bi 2 S 4 F 4,3.6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115011/sust_30_11_115011.pdf
EuSr 2 Bi 2 S 4 F 4,=3.6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115011/sust_30_11_115011.pdf
FST films,16 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/035013/sust_29_3_035013.pdf
Fe (Se 0.4 Te 0.6 ) 0.82,14 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/11/115004/sust_28_11_115004.pdf
Fe 0.935 Co 0.065 ) 2 As 2 pnictide,21.7 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/12/125007/sust_30_12_125007am.pdf
Fe 0.935 Co 0.065 ) 2 As 2,21.7 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/12/125007/sust_30_12_125007am.pdf
Fe 1-y Te 1-x Se x with 0.4 < x < 0.8,14 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/015018/sust_30_1_015018am.pdf
Fe 1−x Pt x ) 2 As 2 ) 5 (x≈0.05) single crystal,26 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/6/065010/sust_31_6_065010.pdf
Fe 1−y Se,8.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/8/085010/sust_30_8_085010.pdf
Fe-based pnictides,55 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/3/034004/sust_30_3_034004am.pdf
Fe-based pnictides,9.2 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/3/034004/sust_30_3_034004am.pdf
Fe1-xCoxSe0.5Te0.5,17 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/2/025009/sust_31_2_025009am.pdf
FeAs 2,40 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/5/055005/sust_29_5_055005.pdf
FeAs 4,35 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/6/062001/sust_28_6_062001.pdf
FeSe (no Te) thin films,11.4 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/9/093001/sust_31_9_093001am.pdf
FeSe 0.94,7.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/2/025013/SUST_28_2_025013.pdf
FeSe 1−x,7.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/2/025013/SUST_28_2_025013.pdf
FeSe crystals,10 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/12/125001/sust_28_12_125001.pdf
FeSe film,100 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/7/073001/sust_31_7_073001.pdf
FeSe films grown on SrTiO3,50 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/9/093001/sust_31_9_093001am.pdf
FeSe films,109 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/5/054001/sust_28_5_054001.pdf
FeSe films,8 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/12/123001/sust_29_12_123001.pdf
FeSe single crystals,9.8 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/9/095002/sust_29_9_095002.pdf
FeSe single crystals,=9.8 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/9/095002/sust_29_9_095002.pdf
FeSe,100 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/7/073001/sust_31_7_073001.pdf
FeSe,109 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/5/054001/sust_28_5_054001.pdf
FeSe,37 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/11/115004/sust_28_11_115004.pdf
FeSe,40 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/9/093001/sust_31_9_093001am.pdf
FeSe,8 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/3/035003/sust_30_3_035003.pdf
FeSe,9.1 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/4/045013/sust_28_4_045013.pdf
FeSe-SrTiO 3,65~100 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/013002/sust_30_1_013002am.pdf
FeSe0.5Te0.5 films,21 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/9/093001/sust_31_9_093001am.pdf
FeTe 0.6 Se 0.4,14 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115005/sust_30_11_115005am.pdf
FeTe 0.65 Se 0.35,12.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/015018/sust_30_1_015018am.pdf
FeTe 0.82,10 K to 14 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/11/115004/sust_28_11_115004.pdf
FeTe 0.9 Se 0.1,10.1 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/4/044002/sust_28_4_044002.pdf
FeTe 1−x Se x crystals,15 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/4/045018/sust_28_4_045018.pdf
FeTe-capped monolayer FeSe/SrTiO3,40 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/5/055003/sust_31_5_055003am.pdf
GaV 4 S 8 (111),42 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/RSI/v89/i3/033702_1/vor_1.5016281.pdf
GaV 4 S 8,42 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/RSI/v89/i3/033702_1/vor_1.5016281.pdf
Gd 1−x Th x,56 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/8/085007/sust_30_8_085007am.pdf
Gd-123,93.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/5/054003/sust_29_5_054003.pdf
GdBCO films,92.8 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/12/125010/sust_30_12_125010.pdf
GdBCO+12%BHO films,93.7 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/9/094007/sust_30_9_094007am.pdf
GdBCO+12%BHO,93.7 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/9/094007/sust_30_9_094007am.pdf
GdBCO,92.8 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/12/125010/sust_30_12_125010.pdf
GdBCO,94-95 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/12/125010/sust_30_12_125010.pdf
H 2 S,203 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/12/123001/sust_29_12_123001.pdf
H3S,200 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/9/093001/sust_31_9_093001am.pdf
HCl,20 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/JCP/v149/i7/074101_1/vor_1.5031202.pdf
Hf),1.4 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/035011/sust_29_3_035011.pdf
HfIrSi (1.79,3.4 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/035011/sust_29_3_035011.pdf
Hg 2 Ba 2 CuO y,90 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/6/065010/sust_28_6_065010.pdf
Hg-1223 HTS),133 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/11/115006/sust_28_11_115006.pdf
HgBa 2 Ca 2 Cu 3 O 9,164 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/7/073001/sust_31_7_073001.pdf
Iron-based superconductors,55 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/6/06LT02/sust_31_6_06LT02.pdf
K 0.8 Fe 1.6+x Se 2 superconductors,31 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/7/075001/sust_28_7_075001.pdf
K 0.8 Fe 1.6+x Se 2,31 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/7/075001/sust_28_7_075001.pdf
K x Fe -y 2 Se 2 sample,28 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/8/085015/sust_29_8_085015.pdf
K x Fe -y 2 Se 2 with,28 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/8/085015/sust_29_8_085015.pdf
K x Fe -y 2 Se 2,28 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/8/085015/sust_29_8_085015.pdf
K x Fe 2−y Se 2,32 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115005/sust_30_11_115005am.pdf
K-doped Ba-122 single crystal,38.2 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/10/102001/sust_28_10_102001.pdf
KFe 2 As 2,3.4 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/RSI/v89/i9/094704_1/vor_1.5048008.pdf
LAO,14 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/2/025002/sust_31_2_025002am.pdf
LAO,18.0 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/6/065005/sust_28_6_065005.pdf
LCO,20 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/7/073001/sust_31_7_073001.pdf
LCaMO film,256 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2005/JAP/97/10/10.1063_1.1850378/10.1063_1.1850378_fulltext.pdf
LSAT,16 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/2/025002/sust_31_2_025002am.pdf
La 0.82 0.18 FeAs 2 pnictide,42.6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/9/092001/sust_28_9_092001.pdf
La 0.82 0.18 FeAs 2,42.6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/9/092001/sust_28_9_092001.pdf
La 1.85 Sr 0.15 CuO 4,37 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/7/074001/sust_30_7_074001.pdf
La 2 CuO 4+δ,50 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/013002/sust_30_1_013002am.pdf
La 2-x Sr x CuO 4 /La 2 CuO 4 heterostructure (x = 0.36,38 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/013002/sust_30_1_013002am.pdf
La 2-x Sr x CuO 4 /La 2 CuO 4,30 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/013002/sust_30_1_013002am.pdf
La 3 Ir 2 Ge 2,4.7 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2005/JAP/97/7/10.1063_1.1871335/10.1063_1.1871335_fulltext.pdf
La 3 Rh 2 Ge 2,3.5 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2005/JAP/97/7/10.1063_1.1871335/10.1063_1.1871335_fulltext.pdf
La-based compound,4.7 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2005/JAP/97/7/10.1063_1.1871335/10.1063_1.1871335_fulltext.pdf
La-substituted Bi-2201 (Bi 2 Sr 2−x La x CuO y ),30 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/6/065010/sust_28_6_065010.pdf
LaAlO 3 (LAO),21 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/6/065005/sust_28_6_065005.pdf
LaAlO 3,16 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/035013/sust_29_3_035013.pdf
LaAlO 3,21 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/6/065005/sust_28_6_065005.pdf
LaAlO 3,≈0.2 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/7/073001/sust_31_7_073001.pdf
LaBi 3,3 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/03LT02/sust_29_3_03LT02.pdf
LaBi 3,7 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/03LT02/sust_29_3_03LT02.pdf
LaBi 3,7.3 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/03LT02/sust_29_3_03LT02.pdf
LaBi 3,=7.3 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/03LT02/sust_29_3_03LT02.pdf
LaCa122,5.0 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/8/085009/sust_30_8_085009.pdf
LaCa122-A,5.0 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/8/085009/sust_30_8_085009.pdf
LaFe 1 −x Zn x AsO 0.85,26 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/5/053001/sust_29_5_053001.pdf
LaFeAsO 1−x F x (1111,26 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115008/sust_30_11_115008.pdf
LaFeAsO 1−x F x [1,26 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/5/055005/sust_29_5_055005.pdf
LaFeAsO 1−x F x,26 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/12/123001/sust_29_12_123001.pdf
LaFeAsO 1−x F x,26 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/035007/sust_29_3_035007.pdf
LaFeAsO 1−x F x,26 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/5/055005/sust_29_5_055005.pdf
LaFeAsO [1,26 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/2/025006/SUST_28_2_025006.pdf
LaFeAsO,26 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/5/053001/sust_29_5_053001.pdf
LaFeAsO1-xFx,26 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/9/093001/sust_31_9_093001am.pdf
LaFeAsOδ,38 to 50 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/2/025009/sust_31_2_025009am.pdf
LaFePO 1−x F x,5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/5/053001/sust_29_5_053001.pdf
LaO 0.5 F 0.5 BiS 2 compound,10.7 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115011/sust_30_11_115011.pdf
LaO 0.5 F 0.5 BiS 2,10.7 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115011/sust_30_11_115011.pdf
LaO 0.5 F 0.5 BiS 2,8.28 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115004/sust_30_11_115004.pdf
LaO x 1-F x BiSe 2,3.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/4/04LT03/sust_29_4_04LT03.pdf
LaO x 1-F x BiSe 2,6.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/4/04LT03/sust_29_4_04LT03.pdf
LaPb 3 (n=3.75,=4.1 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/03LT02/sust_29_3_03LT02.pdf
LaPb 3,=4.1 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/03LT02/sust_29_3_03LT02.pdf
LaSe) 1.14 (NbSe 2 ),1.32 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/12/125010/sust_31_12_125010.pdf
LaTl 3 (n=3.00,=1.6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/03LT02/sust_29_3_03LT02.pdf
LaTl 3,1.63 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/03LT02/sust_29_3_03LT02.pdf
LaTl 3,=1.6 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/03LT02/sust_29_3_03LT02.pdf
LaTl 3,=1.63 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/03LT02/sust_29_3_03LT02.pdf
Li 1−x Fe x OH)FeSe,40 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/10/105015/sust_29_10_105015.pdf
Li NH Fe Se,43 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/035005/sust_29_3_035005.pdf
Li x (NH 3 ) y Fe 2 Te 1.2 Se 0.8 single crystals,21 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115005/sust_30_11_115005am.pdf
Li x (NH 3 ) y Fe 2 Te 1.2 Se 0.8,21 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115005/sust_30_11_115005am.pdf
LiC 6,8.1 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/1/013002/sust_30_1_013002am.pdf
LiFeAs (,18 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/9/093001/sust_31_9_093001am.pdf
LiFeAs (111-system),26 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115008/sust_30_11_115008.pdf
LiFeAs single crystals,19.2 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/2/025006/SUST_28_2_025006.pdf
LnBa2Cu3O7,90 to 96 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/9/093001/sust_31_9_093001am.pdf
Lu 3 Os 4 Ge 13,3.1 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/11/115012/sust_28_11_115012.pdf
Magnesium diboride (MgB 2,39 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/9/095001/sust_29_9_095001.pdf
Mg 1.1 B 2 ͑Fig,35.9 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2005/JAP/97/5/10.1063_1.1861142/10.1063_1.1861142_fulltext.pdf
Mg 1.1 B 2,35.9 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2005/JAP/97/5/10.1063_1.1861142/10.1063_1.1861142_fulltext.pdf
Mg(B 1−x C x ) 2,38.1-38.26 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/10/105020/sust_29_10_105020.pdf
MgB 2 ),39 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/5/055001/sust_28_5_055001.pdf
MgB 2 ),39 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/9/095001/sust_29_9_095001.pdf
MgB 2 devices,40 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/3/034008/sust_30_3_034008am.pdf
MgB 2 film,∼8.5 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/2/023001/sust_29_2_023001.pdf
MgB 2 thin films,37.2 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2018/APL/v112/i2/022601_1/vor_1.5013286.pdf
MgB 2,08 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/035004/sust_29_3_035004.pdf
MgB 2,10-13 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/2/024011/sust_30_2_024011.pdf
MgB 2,31 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/4/040502/sust_31_4_040502.pdf
MgB 2,35 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/2/023001/sust_29_2_023001.pdf
MgB 2,35 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/2/025004/sust_30_2_025004.pdf
MgB 2,38 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/11/114005/sust_28_11_114005.pdf
MgB 2,38 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/11/115003/sust_30_11_115003am.pdf
MgB 2,39 K,OK,supercon_papers/supercon_files_20190308/aip/data/fy2005/JAP/98/12/10.1063_1.2142095/10.1063_1.2142095_fulltext.pdf
MgB 2,39 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/1/015002/SUST_28_1_015002.pdf
MgB 2,39 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/12/125006/sust_28_12_125006.pdf
MgB 2,39 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/12/125014/sust_28_12_125014.pdf
MgB 2,39 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/2/025006/SUST_28_2_025006.pdf
MgB 2,39 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/3/035015/sust_28_3_035015.pdf
MgB 2,39 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/5/053002/sust_28_5_053002.pdf
MgB 2,39 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2015/0953-2048/28/5/055001/sust_28_5_055001.pdf
MgB 2,39 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/10/105019/sust_29_10_105019.pdf
MgB 2,39 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/3/035004/sust_29_3_035004.pdf
MgB 2,39 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2016/2016/0953-2048/29/9/095001/sust_29_9_095001.pdf
MgB 2,39 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/2/025021/sust_30_2_025021.pdf
MgB 2,39 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2017/2017/0953-2048/30/6/065005/sust_30_6_065005.pdf
MgB 2,39 K,OK,supercon_papers/supercon_files_20190308/iop/data/fy2018/2018/0953-2048/31/5/055016/sust_31_5_055016am.pdf
